index,coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
76,positive,yes,PK_Ike,0,@PK_Ike: Looking to buy a coachella car camping pass for weekend 2! Hmu #COACHELLA #Coachella2015 #carcamping,"[33.83427916, -118.34772251]",1/7/15 13:25,5.52939e+17,"ÌÏT: 33.7945952,-118.1414693",Pacific Time (US & Canada)
77,positive,yes,_jogayle,0,So want to go to #Coachella2015  especially with @Drake and @FKAtwigs announced!,,1/7/15 13:25,5.52939e+17,london,Casablanca
78,positive,yes,HollywoodIC,0,#Coachella2015 Whoa! The Weeknd &amp; Drake performing!!,,1/7/15 13:24,5.52939e+17,,Eastern Time (US & Canada)
79,positive,yes,RogerCraigSmith,2,"Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
https://t.co/3tjZwbarUA",,1/7/15 13:24,5.52939e+17,Los Angeles,Pacific Time (US & Canada)
80,positive,yes,jngarland,0,got my #Coachella2015 Weekend 2 tickets! Can't wait to cross this off my bucket list!,,1/7/15 13:22,5.52938e+17,oakland california,Central Time (US & Canada)
81,positive,yes,Just_Twigs,0,FinallyÛ_ #Coachella2015 Week 2 here we come.,,1/7/15 13:22,5.52938e+17,,Eastern Time (US & Canada)
82,positive,yes,aloh25,0,COACHELLA I'm coming for ya! _Ù÷_ #coachella2015 #hellyeah http://t.co/U7yqB9kvPu,,1/7/15 13:22,5.52938e+17,,
83,positive,yes,Jacob_Walter997,260,RT @kaskade: ÛÏ@Forever21: The lineup is here! #Coachella2015 http://t.co/tNOrBbvUfzÛ Cue the flower headband display front + center!,,1/7/15 13:20,5.52938e+17,,Arizona
84,positive,yes,shkuhbr,0,IF YOURE SELLING #Coachella2015  WEEK 2 PASS HMU!!!!!!!,"[34.14791893, -117.46578989]",1/7/15 13:19,5.52938e+17,,
85,positive,yes,cee__mariee,4,RT @MonicaFulmer: FUCK ME DUDE I WANT TO GO SO BADDDDD #Coachella2015 http://t.co/bHIxOJirow,,1/7/15 13:19,5.52938e+17,Iowa,Central Time (US & Canada)
86,positive,yes,RyanCortezz,0,ÛÏ@MyDesert: .@coachella festival passes sell out in 38 minutes http://t.co/GyrlxL4JMn #Coachella2015Û @maddiepenaa _ÙÔÛ,,1/7/15 13:19,5.52938e+17,Coachella... The Velvet Rope,Pacific Time (US & Canada)
87,positive,yes,Ruth_in_dubai,0,Might as well plan ahead for April non? Happy early 40th birthday to moi! From moi! #coachella2015Û_ http://t.co/NczeWEMG48,,1/7/15 13:19,5.52937e+17,"Dubai, UAE",Quito
88,positive,yes,cassieclauser,0,All I have to say is thank god for presale &amp; @EricaTabano #Coachella2015,,1/7/15 13:18,5.52937e+17,,Pacific Time (US & Canada)
89,positive,yes,Hanjcksn,0,I honestly just want to see Steely Dan... #Coachella2015,,1/7/15 13:17,5.52937e+17,,Central Time (US & Canada)
90,positive,yes,VickyOrdsmith,1,@katrina0801 @coachella way to start of the new year! #coachella2015,,1/7/15 13:17,5.52937e+17,Manchester,Amsterdam
91,positive,yes,maya_says_,0,dreaming of LaLa land with @mattyod tonight @coachella #Coachella2015,,1/7/15 13:13,5.52936e+17,toronto,
92,positive,yes,NotJack4,1,RT @JamesAppleg8: @Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,1/7/15 13:11,5.52935e+17,Long Beach,Arizona
93,positive,yes,CatfoodBeerGlue,0,"Some people vacation in Hawaii every year, some go to Europe, and I choose to poo in a 110F port-a-potty for 4 days. #Coachella2015",,1/7/15 13:10,5.52935e+17,"Yay Area, CA",Pacific Time (US & Canada)
94,positive,yes,LANGMarMendoza,15,#Coachellatickets sold out in less than 40 mins. Did you get yours? #Coachella2015 @coachella http://t.co/th1y4k3v6y,,1/7/15 13:07,5.52935e+17,"Los Angeles, Calif.",Hawaii
95,positive,yes,AmandaGabrielle,0,I could cry of happiness _Ù÷©_Ù÷©_Ù÷©_Ù÷©_Ù÷© #Coachella2015,,1/7/15 13:07,5.52935e+17,"Staten Island, NY",Central Time (US & Canada)
96,positive,yes,JustChelseaB,0,Great line up for #Coachella2015 who's going to Coachella this year??,,1/7/15 13:07,5.52935e+17,,Eastern Time (US & Canada)
97,positive,yes,JVR24_,0,"Artists that I didn't know that stuck out to me. ""&gt;"" are a must see for me. #Coachella2015 http://t.co/Z9g6iAFQgM",,1/7/15 13:06,5.52934e+17,90011,Alaska
98,positive,yes,JamesAppleg8,1,@Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,1/7/15 13:06,5.52934e+17,,
99,positive,yes,Waltraud9141,1,RT @koufaxmusic: something for your ears while you wait on the standby page #Coachella #Coachella2015 https://t.co/3vhd4Ckuxf,,1/7/15 13:05,5.52934e+17,Mississippi,
100,positive,yes,jaclynLsmith,0,https://t.co/dot8qgvwDp @zayngos_mangos !!!! #Coachella2015 is calling our names!,,1/7/15 13:05,5.52934e+17,Pittsburgh / Scranton PA,Central Time (US & Canada)
101,positive,yes,mirandaevargas,0,Weekend 1 _Ù÷Ï_Ù_¦ #Coachella2015 #camping,"[33.84938423, -117.57429832]",1/7/15 13:05,5.52934e+17,Southern California,Pacific Time (US & Canada)
102,positive,yes,camille_perich,1,Sold a part of my soul when I purchased my Coachella ticket but I really could care less #Coachella2015 _Ù÷__Ù÷_,"[37.70626024, -121.95709504]",1/7/15 13:04,5.52934e+17,ÒÙÒ÷Û¢ÒÔÒÓÒ£ÒÛ¢ÒÙÒÑÒ÷Û¢Ò¢ÒÒÒ¢Ò_,Arizona
103,positive,yes,joyceekim,0,So no one ask me to hang out or do any fun things w them that require money until summer bc #Coachella2015 just left me _Ù÷__ÙÕÛ #brokeaf,,1/7/15 13:04,5.52934e+17,,
104,positive,yes,caaiiit_,0,ÛÏ@jaywoodzs: Honestly just got an adrenaline rush from fucking getting my tickets #coachella2015 @caaiiit_Û God bless,"[33.75078394, -118.30769944]",1/7/15 13:03,5.52934e+17,,Pacific Time (US & Canada)
105,positive,yes,bradphillips004,0,Just got tickets to #Coachella2015! So freaking excited. Can we just cancel Jan/Feb/Mar and skip straight to April already?!?!,,1/7/15 13:02,5.52933e+17,"Melbourne, Australia",Melbourne
106,positive,yes,Aidansahota,0,Buzzing.... _Ù÷_Ù÷_Ù÷_Ù÷_Ù÷.. Can Not wait For April 17th.. _ÙÕÄ_ÙÔø_ÙÔø_Ù_¤_Ù___Ù__ #Coachella2015,,1/7/15 13:02,5.52933e+17,London,Casablanca
107,positive,yes,xMissTaylor,0,One day I will travel to the USA to go to Coachella _Ùà¼_Ùàü #Coachella2015 #MakeItHappen,,1/7/15 13:01,5.52933e+17,Bristol ,London
108,positive,yes,simonepedretti1,0,The worst text you'll ever receive #Coachella2015 http://t.co/KEsCyT4xwU,,1/7/15 13:01,5.52933e+17,San Diego,
109,positive,yes,sierralkbabe,1,So psyched for #Coachella2015 with @HannahhRay _Ù÷,,1/7/15 13:01,5.52933e+17,the last frontier,
110,positive,yes,itserikestrada,0,Wait. #Coachella2015 made me broke _ÙÕü,,1/7/15 13:00,5.52933e+17,"Los Angeles, CA",Pacific Time (US & Canada)
111,positive,yes,DrumsandBluntsS,0,Ya bitches .. #Coachella2015 http://t.co/UvzWoqxujo,,1/7/15 13:00,5.52933e+17,LA,
112,positive,yes,AmandaaaSimon,1,ÛÏ@PipaVal: Iz happeninnn #Coachella2015 Ï¬ http://t.co/S1aHN99DoQÛ CAN'T WAIT,,1/7/15 12:59,5.52933e+17,Miami,Atlantic Time (Canada)
113,positive,yes,BigSmokes5,0,@porterrobinson I BOUGHT MY COACHELLA TICKET TO SEE YOU PERFORM WORLDS LIVE. I gotta hear you sing lionhearted dude! #Worlds #Coachella2015,,1/7/15 12:58,5.52932e+17,,
114,positive,yes,thuymahp,0,Tickets are officially booked for Coachella! #STOKED #coachella2015 #happydance http://t.co/KEKnO9Hdoy,,1/7/15 12:57,5.52932e+17,,Central Time (US & Canada)
115,positive,yes,Lana_del_slaay,0,"If I don't get #Coachella  tickets, I WILL FUCKING DIE! #Coachella2015",,1/7/15 12:56,5.52932e+17,Planet Froot,Atlantic Time (Canada)
116,positive,yes,kaeaboy,0,Well I'm going bananas right now _Ù÷_Ù_Á_ÙÎÉ_Ù_¦ #Coachella2015 http://t.co/Q3ybvSfZJj,,1/7/15 12:56,5.52932e+17,Maui | OC,Pacific Time (US & Canada)
117,positive,yes,JackkLangan,0,The new #Coachella line up! Would love to be going!_Ù÷´_Ùà¼_Ùàü_Ùªö #Coachella2015 http://t.co/fyTezrWjYe,,1/7/15 12:55,5.52932e+17,"Ireland, Co.Mayo!",Dublin
118,positive,yes,KatiaGarciaSan,0,Now I need an airplane ticket and a hotel #Coachella2015,,1/7/15 12:55,5.52932e+17,MÌ©xico,Mexico City
119,positive,yes,Jenna8515,0,Ahh 38 mins of staring @the comp screen waiting 2 purchase @coachella tix was worth it from #cantwait #Coachella2015 http://t.co/9XuUlTimuZ,,1/7/15 12:55,5.52931e+17,World Traveler ,Eastern Time (US & Canada)
120,positive,yes,xoSergio,0,Waited at 12 on the dot for Weekend 1 tickets and they sold out 50 mins later. #sosad #Coachella2015,,1/7/15 12:55,5.52931e+17,,Pacific Time (US & Canada)
121,positive,yes,TheeSweetestTea,0,"And THAT, my friends, is why you should always take advantage of presale #Coachella2015",,1/7/15 12:54,5.52931e+17,,Pacific Time (US & Canada)
122,positive,yes,JacqSpeer,0,_Ù÷_Let the countdown begin!! brn_3ttt #coachella2015 #FLO #FINALLY @hanabolabolaÛ_ http://t.co/qal0EBwZ8O,,1/7/15 12:54,5.52931e+17,"Fort Worth, Texas",Central Time (US & Canada)
123,positive,yes,honestlycarolyn,0,My blood pressure has never been higher #Coachella2015 #ticketprobs,,1/7/15 12:54,5.52931e+17,Southern California,Pacific Time (US & Canada)
124,positive,yes,amanda_cee,0,take me with youuuuuuu RT @PipaVal: Iz happeninnn #Coachella2015 Ï¬ http://t.co/UWYGvJ9HMs,,1/7/15 12:54,5.52931e+17,,Quito
125,positive,yes,MyMyshelly,0,Thinking about sneaking into #Coachella2015 just to see @MarinasDiamonds perform. _Ù÷ ,,1/7/15 12:51,5.52931e+17,Los Angeles CA,Arizona
126,positive,yes,Rolfring,0,"Hell yea,Norwegian act @toddterjeolsen @ellenwoodEP: so what do you really really think about the lineup for #Coachella2015 ? worth going?Û",,1/7/15 12:51,5.5293e+17,"Asker, Norway",
127,positive,yes,rodela_sandra,0,I want to go to coachella _Ù÷_ #Coachella2015,,1/7/15 12:50,5.5293e+17,,
128,positive,yes,PipaVal,0,Iz happeninnn #Coachella2015 Ï¬ http://t.co/P91OiHk9dB,,1/7/15 12:49,5.5293e+17,"Miami, FL",Quito
129,positive,yes,BrookeNicholexo,0,lol call me the ticketmaster cause I literally got all my friends through_ÙªÎ #Coachella2015 #chipotle,,1/7/15 12:49,5.5293e+17,Vegas. Bilbao. Reno ,
130,positive,yes,VMTEvents,2,".@coachella passes sold out fast, but you can still get Travel Packages with TICKETS at http://t.co/E5vwXga6a4 #Coachella #Coachella2015",,1/7/15 12:49,5.5293e+17,,Eastern Time (US & Canada)
131,positive,yes,IsabelsWild,0,i got my coachella ticket!! VIP doe #Coachella2015 #Coachella2015,,1/7/15 12:49,5.5293e+17,,Pacific Time (US & Canada)
132,positive,yes,ZoeColaso,0,Conversations with Darlene_Ù÷â #Coachella2015 #Drake #need http://t.co/ITcNJiEYE2,"[34.41225069, -119.69820988]",1/7/15 12:48,5.5293e+17,California grown ,Pacific Time (US & Canada)
133,positive,yes,dajaaaaaah,0,SOOOOOO EXCITED !!!!!!! #coachella2015 #coachella and we barely decided to go less than 24 hours ago _Ù÷± http://t.co/chYlUj6VxT,,1/7/15 12:48,5.5293e+17,,
134,positive,yes,jetaimenicole,0,Weekend One TURN UP #Coachella2015 #BackToBack Ï¬_Ùã_Ù_¦_ÙÎÈ_Ù_Î_ÙÔÉ,"[35.06229209, -106.52064138]",1/7/15 12:47,5.52929e+17,Desert child ,Mountain Time (US & Canada)
